# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak0	PDZD8 (+33125), SLC18A2 (+101249)
peak554	TTC17 (-30711), API5 (+16241)
peak555	RAB22A (-560756), PMEPA1 (-39038)
peak556	ZEB2 (-33294)
peak557	CRLF3 (+15706), GOSR1 (+331708)
peak558	IFNG (-30414), IL26 (+35660)
peak559	RBM33 (+40942), SHH (+126652)
peak560	CACNG3 (-162260), PRKCB (+257269)
peak561	HHAT (+136006), ENSG00000284299 (+669166)
peak562	COA1 (-85729), BLVRA (-22662)
peak563	DTHD1 (-28231), ARAP2 (-11282)
peak564	SLC2A12 (-236422), SGK1 (+29000)
peak565	IRF8 (-9861), COX4I1 (+89249)
peak566	SCG2 (+43300), KCNE4 (+507389)
peak567	RRAS2 (+70764), SPON1 (+325731)
peak568	SMIM8 (-140085), ZNF292 (+26954)
peak569	SLC41A3 (+49587), ROPN1B (+65573)
peak570	PIK3CB (-21863), FOXL2 (+165918)
peak571	NME8 (-90797), GPR141 (+73928)
peak572	FAM174A (+132237), ST8SIA4 (+235724)
peak573	RYR2 (+261929), ZP4 (+586788)
peak574	SLA (-92701), WISP1 (-37980)
peak575	TPRG1 (-418489), LPP (+540552)
peak576	OTULIN (+103366), ANKH (+103664)
peak577	ALDH9A1 (-56757), TMCO1 (+13302)
peak578	SNX27 (-43080), TUFT1 (+28697)
peak579	MRPL3 (-198435), CPNE4 (+336400)
peak580	LPAR3 (-103906), MCOLN2 (+26875)
peak581	KBTBD6 (-26599), KBTBD7 (+35221)
peak582	MAX (-233859), FUT8 (-74263)
peak583	SNTB1 (-104150), HAS2 (+723967)
peak584	FUT9 (-210683), MANEA (+227758)
peak585	RPLP1 (+226931), TLE3 (+418461)
peak586	ETV5 (-126544), DGKG (+126581)
peak587	MYF5 (+61460), LIN7A (+159553)
peak588	ZNF326 (-113505), LRRC8D (+60578)
peak589	VPS54 (-30766), PELI1 (+94616)
peak590	NEK7 (+84873), ATP6V1G3 (+298838)
peak591	USP17L3 (-374548), PRAG1 (+33965)
peak592	GSTA3 (-74774), GSTA4 (+10919)
peak593	MED4 (+16762), NUDT15 (+40775)
peak594	MYC (+504466)
peak595	ELOA2 (-85140), HDHD2 (+29759)
peak596	MRPS10 (-223473), TRERF1 (+10713)
peak597	ACER2 (+32894), SLC24A2 (+344975)
peak598	SLC10A4 (-112428), SLAIN2 (+29593)
peak599	STAU1 (+21665), CSE1L (+120390)
peak600	PRL (+205861), SOX4 (+498872)
peak601	CWC15 (+96819), AMOTL1 (+108422)
peak602	KL (+130659), STARD13 (+138663)
peak603	BOD1L2 (-429997), WDR7 (+65680)
peak604	RPL35A (-43269), LRCH3 (+115444)
peak605	CREBL2 (-28806), DUSP16 (-20703)
peak606	ORC2 (-58438), FAM126B (+49551)
peak607	WAC (-165029), MPP7 (-88248)
peak608	HOMER3 (-30157), SUGP2 (+63747)
peak609	INTS8 (-96135), DPY19L4 (+7264)
peak610	TMEM252 (-112611), PIP5K1B (-52222)
peak611	THUMPD2 (-159387), SLC8A1 (+573707)
peak612	TMEM200C (-108309), L3MBTL4 (+363419)
peak613	RASEF (-157815), FRMD3 (+317495)
peak614	UBAC2 (-128204), DOCK9 (-94580)
peak615	STRN (-38920), HEATR5B (+78950)
peak616	SLC25A36 (-58176), TRIM42 (+205672)
peak617	IGSF11 (+182888)
peak618	C10orf128 (-66376), DRGX (+140699)
peak619	CACNG5 (-325384), PRKCA (+206907)
peak620	CFAP44 (-13319), SPICE1 (+60323)
peak621	RNF182 (-83099), MCUR1 (-27200)
peak622	ASPH (+14302), CLVS1 (+412302)
peak623	PLAC1 (-250202), MOSPD1 (+6582)
peak624	CLDN34 (-24910), SHROOM2 (+155992)
peak625	RORA (-93631)
peak626	CENPO (-179888), NCOA1 (+121325)
peak627	CDCA7L (+47680), DNAH11 (+355189)
peak628	STAU2 (+226065), RDH10 (+226260)
peak629	COX6C (+176386), VPS13B (+704410)
peak630	SH3GL2 (-64717), CNTLN (+379424)
peak631	LAMP3 (-61681), B3GNT5 (-28652)
peak632	AKTIP (-31875), RPGRIP1L (+168727)
peak633	MANBA (+17431), NFKB1 (+242234)
peak634	DNMT3A (-60987), DTNB (+270057)
peak635	FAM49B (-369660), ASAP1 (+134168)
peak636	THUMPD2 (-140411), SLC8A1 (+592683)
peak637	LAMTOR3 (+25927), DAPP1 (+51717)
peak638	GATA3 (+199824)
peak639	EPAS1 (-50485), PRKCE (+595143)
peak640	FER (-827733), EFNA5 (-249194)
peak641	DAOA (-20405)
peak642	SAMSN1 (-179865), NRIP1 (+301733)
peak643	LIMCH1 (+12322), PHOX2B (+198491)
peak644	IL1RN (-19720), IL1F10 (+25859)
peak645	WDR5B (-12292), KPNA1 (+86585)
peak646	ADAM30 (-91398), NOTCH2 (+81733)
peak647	EHHADH (-78510), MAP3K13 (-30512)
peak648	STOM (+16406), GSN (+54006)
peak649	MFGE8 (-155056), ABHD2 (-19683)
peak650	TNFAIP3 (-200868), OLIG3 (-172070)
peak651	LTF (+24075), CCRL2 (+33530)
peak652	TRIB2 (-413499), LPIN1 (+625795)
peak653	ICE1 (+100684), MED10 (+855216)
peak654	DUSP4 (-455903), SARAF (+276636)
peak655	NUAK1 (-87705), CKAP4 (+20250)
peak656	RNF7 (-195416), RASA2 (+55739)
peak657	PRPF4B (-10358), FAM50B (+161582)
peak658	DMP1 (-36184), DSPP (+5594)
peak659	ZBP1 (-77880), PMEPA1 (+11549)
peak660	TMEM242 (+254549), ARID1B (+291678)
peak661	LYST (-43920), NID1 (+154322)
peak662	FAM71C (-265663), APAF1 (+736949)
peak663	HPGD (-81510), GLRA3 (+224906)
peak664	PARD6B (-169744), PTPN1 (+51446)
peak665	NT5C (-9381), JPT1 (+13499)
peak666	ELL2 (-47376), PCSK1 (+423833)
peak667	DKK2 (-580821), PAPSS1 (+103334)
peak668	SKAP2 (-167082), HOXA1 (+64149)
peak669	ELF1 (+48293), SLC25A15 (+181524)
peak670	IGSF9 (-82)
peak671	SYT16 (-105659), SNAPC1 (+127807)
peak672	USP24 (+86914), PCSK9 (+88651)
peak673	UTP18 (+212356), CA10 (+685843)
peak674	MAFB (+532248)
peak675	KDR (+182737), KIT (+284934)
peak676	ARID5B (+42589), RTKN2 (+324818)
peak677	ARHGAP21 (-67872), PRTFDC1 (+161064)
peak678	CLECL1 (+13269), CLEC2D (+50317)
peak679	AGFG2 (+6618), SAP25 (+27765)
peak680	DNAH10 (+5344), CCDC92 (+204985)
peak681	IYD (-66529), PPP1R14C (+159287)
peak682	GTDC1 (-195134), ZEB2 (+89521)
peak683	KLF3 (-80919), PTTG2 (+622842)
peak684	CAMK1D (+16661), CCDC3 (+635554)
peak685	PWP1 (-313319), BTBD11 (+54000)
peak686	CORIN (-36504), NFXL1 (+40086)
peak687	ECHDC3 (-109954), USP6NL (-100137)
peak688	SYNDIG1 (-423317), GGTLC1 (-57103)
peak689	TGFB3 (+149655), TTLL5 (+170258)
peak690	SDK2 (-368512), RPL38 (-191052)
peak691	PRLR (-442612), IL7R (-183648)
peak692	SLC2A12 (-144157), SGK1 (+121265)
peak693	MYO18B (-118785), GRK3 (+58600)
peak694	MAF (+592799), WWOX (+908502)
peak695	RGS6 (-155521), SIPA1L1 (+247593)
peak696	MYOF (+19150), CYP26A1 (+389154)
peak697	PKM (-17201), PARP6 (+24034)
peak698	NHLRC3 (+57357), LHFPL6 (+507496)
peak699	SOX4 (-993038), CDKAL1 (+65273)
peak700	IL33 (-172614), RANBP6 (-53450)
peak701	FOXE3 (-64572), CMPK1 (+17703)
peak702	CCND2 (-310885), PARP11 (-89513)
peak703	LNX1 (-96778), CHIC2 (+376296)
peak704	MTMR2 (-188598), MAML2 (+230287)
peak705	MET (-18813), CAV1 (+128807)
peak706	ARRDC3 (+110283), ADGRV1 (+714279)
peak707	YPEL1 (-55918), MAPK1 (+75877)
peak708	SLFN13 (-19193), SLFN12L (+19827)
peak709	TLR4 (+131592)
peak710	CDC42EP3 (+109749), QPCT (+217868)
peak711	MXD4 (-19836), ZFYVE28 (+136533)
peak712	STK24 (-74565), SLC15A1 (+156091)
peak713	TRIB2 (-422718), LPIN1 (+616576)
peak714	DNAJA2 (-43036), NETO2 (+127173)
peak715	PRL (+335940), SOX4 (+368793)
peak716	ANK2 (+306119), CAMK2D (+405423)
peak717	CDC42EP3 (-161487), RMDN2 (-116785)
peak718	ADORA2B (-59019), TBC1D26 (+153621)
peak719	NCR3LG1 (+17576), KCNJ11 (+19357)
peak720	AOAH (-127120), ELMO1 (+597680)
peak721	METTL14 (+44706), SEC24D (+106064)
peak722	POU2F2 (-53047), DEDD2 (+34649)
peak723	HP1BP3 (-145929), EIF4G3 (+244230)
peak724	NXNL2 (-115658), SPIN1 (+31024)
peak725	USP46 (+17201), SPATA18 (+590803)
peak726	EIF2AK4 (+32615), SRP14 (+72420)
peak727	INHBC (-57385), R3HDM2 (-35893)
peak728	SLC25A19 (-9856), GRB2 (+107956)
peak729	SYNJ2 (-102162), SNX9 (+56461)
peak730	FAM49B (-55050), ASAP1 (+448778)
peak731	PRR5L (+45068), TRAF6 (+89199)
peak732	ZKSCAN3 (-46230), PGBD1 (+22148)
peak733	CD47 (+219898), BBX (+348140)
peak734	SYT9 (-90921), RBMXL2 (+72002)
peak735	CTSL (-189384), DAPK1 (+38254)
peak736	UNC80 (-133378), MAP2 (+59194)
peak737	ATP8A2 (+96771), SHISA2 (+582189)
peak738	SEMA3C (+145)
peak739	GPR88 (-173126), CDC14A (+12520)
peak740	GATA3 (+384120)
peak741	OGN (-2221)
peak742	SPRY3 (-135085), TMLHE (-19791)
peak743	GABRB1 (-20313), GABRA4 (-16640)
peak744	PHLPP1 (-51261), ZCCHC2 (+141182)
peak745	ZNF777 (+20675), ZNF783 (+178277)
peak746	C5orf30 (+82482), NUDT12 (+221609)
peak747	ARID2 (-322419), ANO6 (+191161)
peak748	EBF1 (-98772), RNF145 (+11520)
peak749	DNAJC1 (+205523), MLLT10 (+263859)
peak750	TBX19 (-43613), SFT2D2 (+11419)
peak751	CACNA1D (+155874), CHDH (+195817)
peak752	PRR5L (+56034), TRAF6 (+78233)
peak753	LCMT1 (-50574), ARHGAP17 (-45824)
peak754	C2orf40 (-191787), NCK2 (+128972)
peak755	SLAIN1 (+16433), EDNRB (+205481)
peak756	GRHL2 (+23587), NCALD (+608888)
peak757	CHAC2 (-637010)
peak758	MAPRE2 (-180523), DTNA (+267498)
peak759	TXK (+6128), NIPAL1 (+111354)
peak760	ID2 (-602198)
peak761	LDLRAD4 (+97356), FAM210A (+351101)
peak762	COL8A1 (-657351), DCBLD2 (-79435)
peak763	KLF10 (-127363), AZIN1 (+81472)
peak764	ZNF827 (-193898), LSM6 (-43152)
peak765	ELMOD2 (+221)
peak766	AICDA (-35905), MFAP5 (+14036)
peak767	NR2C1 (-29618), FGD6 (+114143)
peak768	ARHGAP21 (-164099), PRTFDC1 (+64837)
peak769	LRFN2 (-374921), UNC5CL (+76831)
peak770	EMB (+782686)
peak771	GLIPR2 (-43993), RECK (+56319)
peak772	CBLB (-307980)
peak773	NR3C2 (+225472), ARHGAP10 (+484985)
peak774	KIAA0319L (+18319), ZMYM4 (+270127)
peak775	KLF3 (-502946), PTTG2 (+200815)
peak776	VAPA (-14860), TXNDC2 (+13226)
peak777	SH3RF3 (+109406), SEPT10 (+375389)
peak778	TRIB1 (-256791), NSMCE2 (+81677)
peak779	CENPO (-90058), NCOA1 (+211155)
peak780	PRDX6 (-179195), TNFSF4 (-90758)
peak781	CD109 (+102624)
peak782	NDEL1 (+20017), MYH10 (+174883)
peak783	FOCAD (+34373), HACD4 (+338954)
peak784	CAMSAP1 (-19902), UBAC1 (+34254)
peak785	VAMP3 (-902417), CAMTA1 (+83528)
peak786	NAPB (+21552), GZF1 (+37785)
peak787	CYP7B1 (-47815), ARMC1 (+787631)
peak788	ADGRA3 (+19)
peak789	PRELID2 (+91491)
peak790	ZFYVE1 (+12884), DCAF4 (+87996)
peak791	ABI1 (-108452), ANKRD26 (+131105)
peak792	USP53 (-1031)
peak793	ZC3H12C (-15006), C11orf87 (+656235)
peak794	CD300A (-12200), GPRC5C (+23303)
peak795	DOCK5 (+14279), GNRH1 (+225510)
peak796	CEP57L1 (+107669), CD164 (+179622)
peak797	MAF (+518817), WWOX (+982484)
peak798	LRRC4 (+156902), SND1 (+221988)
peak799	DSCR3 (-141169), DYRK1A (-11599)
peak800	EXT1 (+113010), MED30 (+478130)
peak801	SNRK (-123504), POMGNT2 (-56960)
peak802	HORMAD2 (-32615), MTMR3 (+164404)
peak803	ADAM23 (-81879), ZDBF2 (+86997)
peak804	LRRC70 (-9126), IPO11 (+150725)
peak805	CASK (-184590), PPP1R2P9 (+670642)
peak806	NTRK2 (+487660), AGTPBP1 (+584591)
peak807	SH3RF3 (+219789), SEPT10 (+265006)
peak808	HES1 (-515323), OPA1 (+27678)
peak809	C3orf80 (-213222), IL12A (+23524)
peak810	FSIP2 (+156)
peak811	FOXP4 (-106218), NCR2 (+104419)
peak812	RGS12 (-222464), HTT (+17002)
peak813	FAM71C (-893477), APAF1 (+109135)
peak814	LYPD8 (-38097), SH3BP5L (+32797)
peak815	PDE3A (-568125), AEBP2 (+361446)
peak816	PRR15 (-298277), CPVL (-70258)
peak817	FAM9C (+31052), TMSB4X (+38440)
peak818	SNX13 (-12025), PRPS1L1 (+75344)
peak819	SMARCA2 (-142132), DMRT2 (+829459)
peak820	C3orf52 (-4)
peak821	MPC1 (-105286), RPS6KA2 (+374227)
peak822	SOX5 (-889859), BCAT1 (+63513)
peak823	TAF4B (-35750), PSMA8 (+56859)
peak824	LRRC6 (-36227), TMEM71 (+48738)
peak825	SLC24A2 (-568361), MLLT3 (+267254)
peak826	EFCAB1 (-53758), SNAI2 (+132439)
peak827	NAP1L1 (-164648), BBS10 (+98761)
peak828	ARHGEF7 (-149901), ANKRD10 (-50307)
peak829	CD28 (+23)
peak830	SMNDC1 (+35214), MXI1 (+62132)
peak831	BMPR1B (+181174), UNC5C (+316353)
peak832	PLXNC1 (-39332), CRADD (+431674)
peak833	SLC35F3 (-236007), KCNK1 (+54922)
peak834	ELOVL5 (-92241), GCLC (+103709)
peak835	SYCP3 (-54164), GNPTAB (+37305)
peak836	STX3 (-25907), OR10V1 (-15307)
peak837	CLEC20A (+192463), RASAL2 (+210335)
peak838	HSF2 (-754311), GJA1 (+209543)
peak839	STK17B (-357396), HECW2 (+63640)
peak840	MINDY3 (+396)
peak841	MGST3 (+9605), ALDH9A1 (+58397)
peak842	MEF2C (-410132)
peak843	SOSTDC1 (-154261), ANKMY2 (+25707)
peak844	DYRK2 (+179487), IFNG (+331539)
peak845	ZNF184 (-80447), HIST1H2BL (+254366)
peak846	CDK5R1 (+16993), MYO1D (+373565)
peak847	COL6A1 (-95392), PCBP3 (+242651)
peak848	EGFL6 (-181739), ATXN3L (-67484)
peak849	WASF3 (+96522), GPR12 (+106513)
peak850	GPR52 (-222097), RABGAP1L (+66497)
peak851	INSL4 (+32984), RLN2 (+40566)
peak852	ABCA13 (+83734)
peak853	RUNX2 (-273583), CDC5L (+667261)
peak854	PLXNA4 (-305507), CHCHD3 (+199274)
peak855	FAM86B2 (-295773), LONRF1 (+23374)
peak856	HDAC8 (-48697), PHKA1 (+92240)
peak857	CDC40 (+54053), METTL24 (+124078)
peak858	PLXDC2 (+158071), NEBL (+923292)
peak859	SCEL (-163267), MYCBP2 (-45814)
peak860	SNX18 (+146233), ESM1 (+321565)
peak861	STIM2 (+52193)
peak862	FAM172A (-440412), SLF1 (-66300)
peak863	JCAD (-188415), MTPAP (+101380)
peak864	FER (+268655), PJA2 (+393517)
peak865	SLC38A6 (-135403), MNAT1 (+110949)
peak866	KPNA5 (+14413), FAM162B (+70123)
peak867	OMG (+70823), NF1 (+131661)
peak868	GPR45 (-154228), MRPS9 (+49532)
peak869	PDE4D (-755634), DEPDC1B (+50729)
peak870	TTC30B (+51611), AGPS (+108759)
peak871	OR6M1 (-15852), TMEM225 (+63403)
peak872	DOCK9 (-124118), UBAC2 (-98666)
peak873	ADAMTS3 (-397494), COX18 (+102812)
peak874	C2orf66 (-94951), PGAP1 (+21504)
peak875	NR4A3 (-59175), SEC61B (+540379)
peak876	NONE
peak877	OR1A1 (+30308), OR3A2 (+40085)
peak878	ADORA2A (-126700), SPECC1L (+34579)
peak879	KCNJ16 (-45608), MAP2K6 (+644548)
peak880	CMIP (-109245), GAN (+20973)
peak881	ARL4A (+424175), ETV1 (+878485)
peak882	GATB (-9311), FBXW7 (+765767)
peak883	SLC4A4 (+151769), GC (+464986)
peak884	FSCB (-382683), KLHL28 (+71170)
peak885	NFATC2 (-119206), ATP9A (+106709)
peak886	RTN4RL2 (-27599), SLC43A3 (-5829)
peak887	ZNF704 (-186460), PAG1 (+50827)
peak888	CABYR (-267565), LAMA3 (+182087)
peak889	IVNS1ABP (-384614), HMCN1 (-32608)
peak890	CHSY3 (-136222), KIAA1024L (+20171)
peak891	STIM2 (-129328), TBC1D19 (+147597)
peak892	AFAP1L1 (-31302), ABLIM3 (+98955)
peak893	B3GNT6 (-71186), ACER3 (+102339)
peak894	SFRP1 (-167961), GOLGA7 (-13196)
peak895	KLHL42 (+42197), PTHLH (+150488)
peak896	KRTAP21-3 (+255)
peak897	PJA2 (+167220), FER (+494952)
peak898	BACH2 (+57080), GJA10 (+345193)
peak899	LMBR1 (+16321), RNF32 (+236125)
peak900	SHH (-939300), RNF32 (+110789), LMBR1 (+141657)
peak901	PPARA (+32046), CDPF1 (+66749)
peak902	RAB11FIP4 (+144267), COPRS (+323446)
peak903	KRR1 (-433142), PHLDA1 (+89169)
peak904	CDK5R1 (+42389), MYO1D (+348169)
peak905	GNS (+28600), RASSF3 (+120334)
peak906	CPLX2 (+922)
peak907	TAC3 (-31255), MYO1A (+2990)
peak908	GRAMD2B (-315872)
peak909	EPB41 (+75410), TMEM200B (+160000)
peak910	POLR3E (-64805), EEF2K (+26322)
peak911	LDB2 (-486787), QDPR (+126638)
peak912	GCA (+146444), KCNH7 (+348086)
peak913	ME3 (+148336), CCDC81 (+149408)
peak914	HMGA2 (-67343), MSRB3 (+478474)
peak915	ATF1 (-221577), DIP2B (+37608)
peak916	CCDC68 (-131151), TCF4 (+545368)
peak917	ZMAT5 (+15641), CABP7 (+31236)
peak918	JAK2 (+8346), INSL6 (+192077)
peak919	ZNF627 (+27396), ZNF823 (+114157)
peak920	MTIF3 (-32596), LNX2 (+137244)
peak921	LRRFIP2 (+34677), MLH1 (+146555)
peak922	CDK1 (-212249), ANK3 (-176475)
peak923	C16orf70 (-54030), CBFB (+26713)
peak924	CENPO (-140121), NCOA1 (+161092)
peak925	CLEC17A (+2336), ADGRE3 (+89412)
peak926	SLC25A26 (+168968), LRIG1 (+198354)
peak927	PRL (+305120), SOX4 (+399613)
peak928	SGIP1 (-182183), PDE4B (+559585)
peak929	SOX30 (-57301), THG1L (-21476)
peak930	ADPRM (+13070), TMEM220 (+19652)
peak931	PDE3A (-474268), AEBP2 (+455303)
peak932	RIOX2 (-9583), GABRR3 (+53264)
peak933	CTGF (-414328), MOXD1 (+35844)
peak934	SAMSN1 (-242391), NRIP1 (+239207)
peak935	CD164 (+8527), CEP57L1 (+278764)
peak936	KCNB1 (-68688), PTGIS (+16782)
peak937	KIT (+96292), KDR (+371379)
peak938	RPE (+6768), KANSL1L (+162050)
peak939	KLF7 (+8875), CPO (+217516)
peak940	ITGA4 (-232117), UBE2E3 (+244502)
peak941	KLF12 (+292080), KLF5 (+644177)
peak942	SOX2 (-694051), DNAJC19 (-28100)
peak943	ISM1 (+33)
peak944	CLVS1 (-479927), CHD7 (+129250)
peak945	RASGEF1B (-325064), HNRNPD (+576977)
peak946	KIT (-161475), PDGFRA (+267346)
peak947	VPREB1 (-133062), TOP3B (-128863)
peak948	SYK (+270010), AUH (+290116)
peak949	CPPED1 (+190103), SNX29 (+637176)
peak950	GK2 (-270351), ANTXR2 (+393919)
peak951	KCTD16 (-27591), YIPF5 (-7027)
peak952	ADSL (-142720), TNRC6B (+25855)
peak953	MEF2C (-162035)
peak954	LPP (-342511), BCL6 (-124695)
peak955	NPM2 (-75109), XPO7 (+29354)
peak956	CAPSL (+30453), IL7R (+51477)
peak957	NEUROD4 (-26661), TESPA1 (-8612)
peak958	SPACA3 (-20480), TMEM98 (+43452)
peak959	XCL2 (+23451), TBX19 (+239506)
peak960	TMEM97 (-144263), NLK (+132676)
peak961	TXK (-93621), TEC (+41987)
peak962	TICAM1 (-9427), PLIN3 (+26637)
peak963	NFAT5 (-114920), CYB5B (+26693)
peak964	CAPZB (+21296), PQLC2 (+151040)
peak965	CDYL2 (-192882), CMC2 (+9903)
peak966	ZBTB39 (-5307), TAC3 (+4767)
peak967	PELI2 (-310991), KTN1 (+227067)
peak968	NCOR2 (-104030), SCARB1 (+264565)
peak969	CD226 (-197750), RTTN (+51199)
peak970	RSPO2 (-159455), EIF3E (+5662)
peak971	AFAP1 (-8154), ABLIM2 (+210629)
peak972	TACC1 (-243524), FGFR1 (-75835)
peak973	MEOX2 (-290983), ISPD (+443527)
peak974	STX19 (+17189), ARL13B (+31272)
peak975	SPOCD1 (-50512), PTP4A2 (+52920)
peak976	NSMAF (-191517), TOX (+268157)
peak977	JCAD (-111827), MTPAP (+177968)
peak978	ARHGAP21 (-197901), PRTFDC1 (+31035)
peak979	MICALCL (-112348), MICAL2 (+63961)
peak980	CACUL1 (-184484), NANOS1 (-89986)
peak981	NCR3LG1 (-53239), NUCB2 (+21722)
peak982	EFNB2 (-26868), ARGLU1 (+6182)
peak983	SH3RF2 (+8874), LARS (+235909)
peak984	C11orf58 (+11451), PLEKHA7 (+264560)
peak985	ATXN1 (+56551), GMPR (+466325)
peak986	FGG (-107674), LRAT (-23649)
peak987	LRIG1 (+106676), SLC25A26 (+260646)
peak988	C11orf63 (-25626), CRTAM (+18402)
peak989	TECTA (-9431), TBCEL (+67621)
peak990	KCTD8 (-4)
peak991	PSD3 (+5)
peak992	GLS (-201855), NAB1 (+29739)
peak993	AOAH (-52874), ELMO1 (+671926)
peak994	ITGA4 (-350290), UBE2E3 (+126329)
peak995	BANK1 (-390360), PPP3CA (-52767)
peak996	GPCPD1 (-170044), CHGB (-130360)
peak997	KITLG (-557970), DUSP6 (+214840)
peak998	HMCN1 (-313707), IVNS1ABP (-103515)
peak999	OR6B1 (-12626), OR2F2 (+52528)
peak1000	DAD1 (+153886), OR4E2 (+781548)
peak1001	MX1 (+5714), TMPRSS2 (+81836)
peak1002	CREB1 (-243586), KLF7 (-120361)
peak1003	GALNT10 (-131057), MFAP3 (+20680)
peak1004	LDHAL6B (+42676), MYO1E (+123401)
peak1005	C1orf105 (-302778), DNM3 (+276410)
peak1006	ACSL3 (-71385), MOGAT1 (+117763)
peak1007	PMS1 (+90753), MSTN (+187595)
peak1008	ABCA13 (+127584)
peak1009	PRODH (-173087), DGCR2 (+12814)
peak1010	ATP1B3 (+36816), TFDP2 (+236091)
peak1011	ZNF326 (-41852), LRRC8D (+132231)
peak1012	GTDC1 (-179003), ZEB2 (+105652)
peak1013	LMNTD1 (-253169), RASSF8 (-152606)
peak1014	CHODL (-396379), C21orf91 (-29068)
peak1015	CRLF3 (+44282), GOSR1 (+303132)
peak1016	TMEM63B (-313527), VEGFA (+42680)
peak1017	PDCD4 (-97599), RBM20 (+129811)
peak1018	GMNN (-31149), C6orf62 (-22953)
peak1019	TMOD1 (+28130), TSTD2 (+103806)
peak1020	EEPD1 (-37353), SEPT7 (+314757)
peak1021	LARGE1 (-598)
peak1022	INVS (+7517), TEX10 (+246166)
peak1023	KCTD4 (+15765), GTF2F2 (+58437)
peak1024	ASAH2 (-148491), SGMS1 (+226882)
peak1025	TMEM168 (+507)
peak1026	HIPK2 (+10017), CLEC2L (+243845)
peak1027	MIER1 (+56910), SLC35D1 (+72230)
peak1028	SF3B5 (-35943), STX11 (-19010)
peak1029	MYCN (+202193), FAM49A (+523077)
peak1030	BCL2L14 (-72143), ETV6 (+348942)
peak1031	PALM2 (+170766), TXN (+305435)
peak1032	CTSS (-5133), CTSK (+37233)
peak1033	RBPJ (-189398), SMIM20 (+216108)
peak1034	TM4SF5 (-125)
peak1035	TNRC6C (-468919), SEPT9 (+254727)
peak1036	MAP2 (-155533)
peak1037	ADNP2 (+66588), PARD6G (+71927)
peak1038	INAVA (+44294), KIF21B (+84585)
peak1039	DCN (-595944), BTG1 (+366830)
peak1040	JPH4 (-32129), DHRS2 (-25459)
peak1041	HMHB1 (-376724), NR3C1 (-31748)
peak1042	REV3L (-38801), TRAF3IP2 (+83762)
peak1043	MAOA (-786178), PPP1R2P9 (-91794)
peak1044	RPP25 (-20324), SCAMP5 (-17810)
peak1045	F11R (-5916), TSTD1 (+11726)
peak1046	ZNF536 (-325587), URI1 (+104574)
peak1047	SUPT16H (+18432), RPGRIP1 (+77857)
peak1048	TBCA (-159900), AP3B1 (+358568)
peak1049	TAB2 (-254696), UST (+319028)
peak1050	PRSS48 (+47721), GATB (+436131)
peak1051	GATA3 (+128949)
peak1052	CENPC (+414171)
peak1053	CACUL1 (-204082), NANOS1 (-70388)
peak1054	DTNBP1 (+111135), JARID2 (+305611)
peak1055	BAG2 (-24292), ZNF451 (+58024)
peak1056	IL16 (-201652), TLNRD1 (+22804)
peak1057	SNX7 (+9)
peak1058	FAM118A (+32662), SMC1B (+71923)
peak1059	GIF (-12330), TCN1 (+8744)
peak1060	CD101 (-71)
peak1061	BLM (-20024), CRTC3 (+167235)
peak1062	ALDH8A1 (-29098), HBS1L (+75678)
peak1063	DMRTA2 (-301593), FAF1 (+235170)
peak1064	MTMR2 (-334392), MAML2 (+84493)
peak1065	ACVR1 (-1367), UPP2 (-224)
peak1066	SMCO4 (-109748), CEP295 (-8383)
peak1067	GOLGA1 (-24895), SCAI (+177502)
peak1068	C7orf73 (-87034), NUP205 (+17568)
peak1069	SRGAP1 (-345)
peak1070	NFRKB (-67356), PRDM10 (+42470)
peak1071	GTDC1 (+531053), ARHGAP15 (+575373)
peak1072	FERD3L (-407450), TWISTNB (+156216)
peak1073	PHF14 (+156277), THSD7A (+702049)
peak1074	NABP1 (-26924), MYO1B (+406219)
peak1075	NANOS1 (-179049), CACUL1 (-95421)
peak1076	PEX2 (-932807), PKIA (-583106)
peak1077	NRP2 (-565219), PARD3B (+571488)
peak1078	IRS1 (+684502), NYAP2 (+715547)
peak1079	KLF6 (-761479), AKR1E2 (-279500)
peak1080	WDFY2 (-82116), INTS6 (-49394)
peak1081	SAV1 (-145402), NIN (+17388)
peak1082	MKRN3 (-62043), GOLGA6L2 (-56407)
peak1083	SRI (-23352), STEAP4 (+63460)
peak1084	RUNX1 (-434197), SETD4 (+576720)
peak1085	CCL8 (-18185), CCL11 (+15183)
peak1086	CTGF (+65963), ENPP1 (+77394)
peak1087	ENPP1 (-79152), CTAGE9 (-17847)
peak1088	PSMD14 (-90156), TANK (+57585)
peak1089	CNKSR2 (-68844)
peak1090	ASH1L (+87778), RUSC1 (+153827)
peak1091	STAB2 (-145738), ASCL1 (+483849)
peak1092	PMFBP1 (-319614), ZFHX3 (+639225)
peak1093	GULP1 (-518052), TFPI (-220288)
peak1094	CLGN (-17246), MGAT4D (+53008)
peak1095	AXIN2 (-470949), CEP112 (+159273)
peak1096	OTX1 (-218876), EHBP1 (+126060)
peak1097	ARAP2 (+408416)
peak1098	AGTR2 (-553559), PLS3 (+55981)
peak1099	AKR1E2 (-579156), KLF6 (-461823)
peak1100	SLC38A6 (-10664), MNAT1 (+235688)
peak1101	FUCA2 (-123041), PHACTR2 (-43234)
